City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
87,Clarence Town,AU,2022-01-04 03:26:02,-32.5833,151.7833,83.14,74,63,10.42,broken clouds
88,Haapiti,PF,2022-01-04 03:26:02,-17.5667,-149.8667,82.13,74,98,13.33,overcast clouds
89,Tallahassee,US,2022-01-04 03:26:03,30.4383,-84.2807,42.62,90,1,4.61,clear sky
90,Cascais,PT,2022-01-04 03:26:03,38.6979,-9.4215,61.5,84,50,3.0,scattered clouds
91,Kodiak,US,2022-01-04 03:26:03,57.79,-152.4072,19.51,71,94,14.7,overcast clouds
92,Itoigawa,JP,2022-01-04 03:26:03,37.0333,137.85,38.61,94,100,16.06,light rain
93,Esso,RU,2022-01-04 03:26:04,55.9333,158.7,17.98,85,100,1.57,overcast clouds
94,Vao,NC,2022-01-04 03:26:04,-22.6667,167.4833,78.89,79,79,19.64,broken clouds
95,Goderich,CA,2022-01-04 03:26:04,43.7501,-81.7165,30.9,74,100,18.41,overcast clouds
96,Pavilosta,LV,2022-01-04 03:26:05,56.8879,21.1859,40.95,95,100,19.17,overcast clouds
97,Haines Junction,CA,2022-01-04 03:26:05,60.7522,-137.5108,-18.45,57,100,9.22,overcast clouds
98,Leningradskiy,RU,2022-01-04 03:26:05,69.3833,178.4167,28.81,77,100,6.46,overcast clouds
99,Alice Springs,AU,2022-01-04 03:26:06,-23.7,133.8833,99.95,15,5,13.8,clear sky
100,Lompoc,US,2022-01-04 03:21:50,34.6391,-120.4579,54.41,86,1,4.61,clear sky
101,Nome,US,2022-01-04 03:26:06,64.5011,-165.4064,-5.84,64,1,4.61,clear sky
102,Bethel,US,2022-01-04 03:26:06,41.3712,-73.414,23.58,67,1,1.01,clear sky
103,Adelaide,AU,2022-01-04 03:22:01,-34.9333,138.6,81.05,40,20,5.99,few clouds
104,Chuy,UY,2022-01-04 03:26:07,-33.6971,-53.4616,71.49,95,72,4.94,light rain
105,Kaitangata,NZ,2022-01-04 03:26:07,-46.2817,169.8464,67.93,73,100,2.95,overcast clouds
106,Nikki,BJ,2022-01-04 03:26:07,9.9401,3.2108,70.0,25,98,4.03,overcast clouds
107,Bulgan,MN,2022-01-04 03:26:08,48.8125,103.5347,6.48,74,1,2.95,clear sky
108,Puerto Cabezas,NI,2022-01-04 03:26:08,14.0351,-83.3888,75.4,88,10,9.66,clear sky
109,Guerrero Negro,MX,2022-01-04 03:26:08,27.9769,-114.0611,59.02,53,97,9.98,overcast clouds
110,San Quintin,MX,2022-01-04 03:26:08,30.4833,-115.95,56.19,72,99,12.03,overcast clouds
111,Aklavik,CA,2022-01-04 03:26:09,68.2191,-135.0107,-26.57,100,100,1.68,overcast clouds
112,Ola,RU,2022-01-04 03:26:09,59.5833,151.2833,8.15,88,43,5.19,scattered clouds
113,Guymon,US,2022-01-04 03:26:09,36.6828,-101.4816,34.48,55,1,9.22,clear sky
114,Beatrice,US,2022-01-04 03:26:10,40.2681,-96.747,35.98,64,1,13.8,clear sky
115,Saint-Pierre,RE,2022-01-04 03:26:10,-21.3393,55.4781,78.48,67,0,6.91,clear sky
116,Turan,VN,2022-01-04 03:26:10,16.0678,108.2208,78.78,69,40,3.44,scattered clouds
117,Roald,NO,2022-01-04 03:26:10,62.5833,6.1333,39.34,60,75,17.27,light rain
118,Butaritari,KI,2022-01-04 03:26:11,3.0707,172.7902,81.41,66,98,15.59,overcast clouds
119,Pangkalanbuun,ID,2022-01-04 03:26:11,-2.6833,111.6167,89.11,58,100,2.15,overcast clouds
120,Fairbanks,US,2022-01-04 03:23:02,64.8378,-147.7164,-22.0,72,1,8.05,clear sky
121,Mangrol,IN,2022-01-04 03:26:11,21.1167,70.1167,71.28,64,18,7.52,few clouds
122,Sann,PK,2022-01-04 03:26:12,26.0418,68.1378,58.91,27,64,8.7,broken clouds
123,Jinchang,CN,2022-01-04 03:26:12,38.4953,102.1739,30.58,22,0,2.95,clear sky
124,Kichera,RU,2022-01-04 03:26:12,55.9375,110.0997,9.37,93,100,0.58,overcast clouds
125,Sioux Lookout,CA,2022-01-04 03:26:13,50.1001,-91.917,-7.53,77,90,2.3,light snow
126,Kugulta,RU,2022-01-04 03:26:13,45.3636,42.3889,43.38,70,100,20.58,light rain
127,Acapulco,MX,2022-01-04 03:25:43,16.8634,-99.8901,78.62,83,1,2.3,clear sky
128,Tromso,NO,2022-01-04 03:27:13,69.6496,18.957,23.02,63,0,11.5,clear sky
129,Kadoma,JP,2022-01-04 03:27:14,34.7333,135.5833,50.05,44,75,9.22,broken clouds
130,Beloha,MG,2022-01-04 03:27:14,-25.1667,45.05,72.84,75,3,11.48,clear sky
131,Dingle,PH,2022-01-04 03:27:14,10.9995,122.6711,79.36,79,100,15.39,overcast clouds
132,La Ceiba,HN,2022-01-04 03:27:14,15.7597,-86.7822,76.82,83,20,3.44,few clouds
133,Saint Anthony,US,2022-01-04 03:27:15,45.0205,-93.218,20.35,78,1,1.01,clear sky
134,Naron,ES,2022-01-04 03:27:15,43.5167,-8.1528,57.56,96,100,10.94,moderate rain
135,Iquique,CL,2022-01-04 03:27:15,-20.2208,-70.1431,68.04,78,43,1.16,scattered clouds
136,Cabo San Lucas,MX,2022-01-04 03:27:16,22.8909,-109.9124,71.15,78,1,4.61,clear sky
137,Yar-Sale,RU,2022-01-04 03:27:16,66.8333,70.8333,0.48,97,100,15.26,light snow
138,Alofi,NU,2022-01-04 03:27:16,-19.0595,-169.9187,82.29,83,100,10.36,light rain
139,Carutapera,BR,2022-01-04 03:27:17,-1.195,-46.02,73.94,96,100,2.62,light rain
140,Ponta Delgada,PT,2022-01-04 03:27:17,37.7333,-25.6667,53.51,66,20,6.91,few clouds
141,Esik,KZ,2022-01-04 03:27:17,43.3552,77.4525,40.42,65,100,5.41,overcast clouds
142,Kavieng,PG,2022-01-04 03:27:17,-2.5744,150.7967,81.07,78,100,8.75,moderate rain
143,Yellowknife,CA,2022-01-04 03:27:18,62.456,-114.3525,-34.08,67,20,11.5,few clouds
144,Mirnyy,RU,2022-01-04 03:27:18,62.5353,113.9611,-46.77,64,59,1.99,broken clouds
145,Guangyuan,CN,2022-01-04 03:27:18,32.442,105.823,46.62,75,100,3.24,overcast clouds
146,Pevek,RU,2022-01-04 03:27:19,69.7008,170.3133,28.36,82,96,25.32,overcast clouds
147,Cidreira,BR,2022-01-04 03:27:19,-30.1811,-50.2056,74.88,93,100,13.87,overcast clouds
148,Doha,QA,2022-01-04 03:24:35,25.2867,51.5333,60.78,59,0,6.91,clear sky
149,Poya,NC,2022-01-04 03:27:19,-21.35,165.15,83.21,76,58,4.7,broken clouds
150,Airai,TL,2022-01-04 03:27:19,-8.9266,125.4092,72.3,71,100,3.31,overcast clouds
151,Qaanaaq,GL,2022-01-04 03:27:20,77.484,-69.3632,-2.25,56,11,7.52,few clouds
152,Acarau,BR,2022-01-04 03:27:20,-2.8856,-40.12,77.76,86,23,10.16,few clouds
153,Hami,CN,2022-01-04 03:27:20,42.8,93.45,23.92,44,87,5.08,overcast clouds
154,Bandarbeyla,SO,2022-01-04 03:27:21,9.4942,50.8122,76.39,86,80,5.97,broken clouds
155,Nalut,LY,2022-01-04 03:27:21,30.3333,10.85,49.21,57,0,5.06,clear sky
156,Bambanglipuro,ID,2022-01-04 03:27:21,-7.95,110.2833,82.83,70,100,4.14,overcast clouds
157,Acari,PE,2022-01-04 03:23:12,-15.4311,-74.6158,73.11,80,44,4.54,scattered clouds
158,Groningen,NL,2022-01-04 03:27:21,53.25,6.75,47.16,93,75,5.01,broken clouds
159,Dikson,RU,2022-01-04 03:27:22,73.5069,80.5464,-35.57,92,82,7.83,broken clouds
160,Impfondo,CG,2022-01-04 03:27:22,1.6381,18.0667,68.79,51,100,1.16,overcast clouds
161,Avarua,CK,2022-01-04 03:26:03,-21.2078,-159.775,82.45,74,90,16.11,overcast clouds
162,Miandrivazo,MG,2022-01-04 03:27:23,-19.5167,45.4667,80.17,75,20,0.38,few clouds
163,Nebolchi,RU,2022-01-04 03:27:23,59.1239,33.3454,12.45,93,94,7.72,overcast clouds
164,Larkana,PK,2022-01-04 03:27:23,27.5551,68.2141,55.47,51,43,7.34,scattered clouds
165,Arman,RU,2022-01-04 03:27:23,59.7,150.1667,8.02,84,93,7.05,overcast clouds
166,High Level,CA,2022-01-04 03:27:24,58.5169,-117.136,-25.49,68,90,13.8,light snow
167,Georgetown,MY,2022-01-04 03:26:36,5.4112,100.3354,85.93,72,20,3.44,few clouds
168,Nemuro,JP,2022-01-04 03:27:24,43.3236,145.575,21.63,63,67,30.29,broken clouds
169,Bambous Virieux,MU,2022-01-04 03:27:24,-20.3428,57.7575,81.21,83,40,6.91,light rain
170,Khatanga,RU,2022-01-04 03:28:25,71.9667,102.5,-55.66,99,46,4.65,scattered clouds
171,Port Lincoln,AU,2022-01-04 03:25:01,-34.7333,135.8667,66.52,56,71,16.17,broken clouds
172,Norman Wells,CA,2022-01-04 03:28:25,65.282,-126.8329,-32.76,68,75,5.75,light snow
173,Iquitos,PE,2022-01-04 03:24:57,-3.7481,-73.2472,77.04,94,0,0.0,clear sky
174,Petropavlovsk-Kamchatskiy,RU,2022-01-04 03:28:25,53.0452,158.6483,12.79,67,0,2.24,clear sky
175,Tahta,EG,2022-01-04 03:28:26,26.7693,31.5021,53.01,76,0,5.61,clear sky
176,Coahuayana,MX,2022-01-04 03:28:26,18.7333,-103.6833,80.08,89,0,2.98,clear sky
177,Lusambo,CD,2022-01-04 03:28:26,-4.9667,23.45,69.04,99,100,1.01,overcast clouds
178,Chicama,PE,2022-01-04 03:28:26,-7.8447,-79.1469,64.94,79,63,6.55,broken clouds
179,Castelldefels,ES,2022-01-04 03:28:27,41.2779,1.9703,60.21,74,75,1.01,broken clouds
180,Oyama,JP,2022-01-04 03:28:27,36.3,139.8,54.9,33,13,11.45,few clouds
181,Sitka,US,2022-01-04 03:28:27,57.0531,-135.33,21.09,45,90,13.8,overcast clouds
182,Denpasar,ID,2022-01-04 03:24:45,-8.65,115.2167,82.06,78,40,5.75,moderate rain
183,Tooele,US,2022-01-04 03:28:28,40.5308,-112.2983,34.83,93,1,0.0,clear sky
184,Honiara,SB,2022-01-04 03:26:13,-9.4333,159.95,89.91,53,64,9.44,broken clouds
185,Santo Antonio Da Platina,BR,2022-01-04 03:28:28,-23.295,-50.0772,72.66,86,83,5.57,broken clouds
186,Cangas,ES,2022-01-04 03:28:28,42.2641,-8.7846,60.4,80,75,7.0,broken clouds
187,Sohag,EG,2022-01-04 03:28:29,26.557,31.6948,52.3,79,0,6.02,clear sky
188,Guarapari,BR,2022-01-04 03:28:29,-20.6667,-40.4975,76.89,93,100,9.78,overcast clouds
189,Vila Franca Do Campo,PT,2022-01-04 03:28:29,37.7167,-25.4333,53.2,71,77,5.39,broken clouds
190,Ponta Do Sol,PT,2022-01-04 03:28:30,32.6667,-17.1,66.13,18,100,4.36,overcast clouds
191,Klaksvik,FO,2022-01-04 03:28:30,62.2266,-6.589,34.72,85,99,54.29,light rain
192,Askino,RU,2022-01-04 03:28:30,56.0901,56.5783,-2.06,97,100,10.27,overcast clouds
193,Korla,CN,2022-01-04 03:28:30,41.7597,86.1469,20.37,67,31,1.07,scattered clouds
194,Grand-Santi,GF,2022-01-04 03:28:31,4.25,-54.3833,69.04,98,59,2.44,broken clouds
195,Barrow,US,2022-01-04 03:28:31,71.2906,-156.7887,-27.38,68,1,12.66,clear sky
196,San Cristobal,VE,2022-01-04 03:28:31,7.7669,-72.225,71.78,79,100,1.07,overcast clouds
197,Xinan,CN,2022-01-04 03:28:32,26.72,119.8556,57.54,69,38,1.07,scattered clouds
198,Saldanha,ZA,2022-01-04 03:28:32,-33.0117,17.9442,59.05,87,35,13.44,scattered clouds
199,Dvinskoy,RU,2022-01-04 03:28:32,62.1535,45.1175,-7.29,99,89,4.63,overcast clouds
200,Kampot,KH,2022-01-04 03:28:32,10.6167,104.1833,84.25,59,7,10.36,clear sky
201,Tura,IN,2022-01-04 03:28:33,25.5198,90.2201,65.95,50,0,1.86,clear sky
202,Xique-Xique,BR,2022-01-04 03:28:33,-10.8218,-42.7263,73.29,86,100,5.84,moderate rain
203,Maceio,BR,2022-01-04 03:28:33,-9.6658,-35.7353,76.44,88,40,2.3,scattered clouds
204,Panalingaan,PH,2022-01-04 03:28:33,8.7842,117.4231,83.37,69,92,2.75,moderate rain
205,Tilichiki,RU,2022-01-04 03:28:34,60.4667,166.1,31.14,90,100,31.9,snow
206,Zacualpan,MX,2022-01-04 03:28:34,21.25,-105.1667,76.71,87,8,4.36,clear sky
207,Buraydah,SA,2022-01-04 03:28:34,26.326,43.975,45.05,64,2,8.39,clear sky
208,Sena Madureira,BR,2022-01-04 03:28:35,-9.0656,-68.6569,75.11,95,99,3.4,overcast clouds
209,Abu Samrah,SY,2022-01-04 03:28:35,35.3029,37.1841,45.34,83,66,8.61,broken clouds
210,Matamoros,MX,2022-01-04 03:28:35,25.5333,-103.25,57.31,33,1,0.0,clear sky
211,Aripuana,BR,2022-01-04 03:28:35,-9.1667,-60.6333,72.75,99,100,3.15,overcast clouds
212,Mincivan,AZ,2022-01-04 03:28:36,39.0294,46.7185,35.2,53,31,7.87,scattered clouds
213,Corner Brook,CA,2022-01-04 03:26:56,48.9667,-57.9484,19.53,83,96,8.66,overcast clouds
214,Nola,IT,2022-01-04 03:28:36,40.922,14.5329,56.55,85,92,1.99,overcast clouds
215,Bonavista,CA,2022-01-04 03:28:36,48.6499,-53.1147,21.11,68,89,17.18,overcast clouds
216,Buala,SB,2022-01-04 03:29:37,-8.145,159.5921,84.52,72,94,8.7,light rain
217,Katsuura,JP,2022-01-04 03:29:37,35.1333,140.3,51.84,40,1,12.17,clear sky
218,Vestmanna,FO,2022-01-04 03:29:37,62.1564,-7.1664,32.92,80,75,48.34,light snow
219,Kahului,US,2022-01-04 03:29:38,20.8947,-156.47,78.82,80,40,10.36,light rain
220,Kizlyar,RU,2022-01-04 03:29:38,43.8469,46.715,35.22,79,100,9.37,light rain
221,Longyearbyen,SJ,2022-01-04 03:29:38,78.2186,15.6401,-0.56,71,0,17.27,clear sky
222,Hunterville,NZ,2022-01-04 03:29:38,-39.9333,175.5667,84.7,27,0,7.11,clear sky
223,Bethanien,NA,2022-01-04 03:29:39,-26.502,17.1583,61.97,37,0,4.45,clear sky
224,Durres,AL,2022-01-04 03:29:39,41.3231,19.4414,50.18,85,73,6.31,broken clouds
225,Talnakh,RU,2022-01-04 03:29:39,69.4865,88.3972,-21.77,87,98,8.32,overcast clouds
226,Manggar,ID,2022-01-04 03:29:40,-2.8833,108.2667,84.65,67,97,5.57,overcast clouds
227,Pangnirtung,CA,2022-01-04 03:29:40,66.1451,-65.7125,3.94,78,99,8.3,overcast clouds
228,Pasighat,IN,2022-01-04 03:29:40,28.0667,95.3333,67.23,41,5,0.36,clear sky
229,Stranda,NO,2022-01-04 03:29:40,62.3096,6.9358,38.79,79,46,9.06,scattered clouds
230,Abalak,RU,2022-01-04 03:29:41,58.1286,68.5944,14.61,92,100,12.82,overcast clouds
231,Mahebourg,MU,2022-01-04 03:29:41,-20.4081,57.7,82.26,83,40,6.91,light rain
232,Morgan City,US,2022-01-04 03:29:41,29.6994,-91.2068,41.0,69,0,4.72,clear sky
233,Palmer,US,2022-01-04 03:29:41,42.1584,-72.3287,22.64,53,40,3.0,scattered clouds
234,Morant Bay,JM,2022-01-04 03:29:42,17.8815,-76.4093,76.62,73,38,6.02,scattered clouds
235,Husavik,IS,2022-01-04 03:29:42,66.0449,-17.3389,15.71,78,100,8.16,overcast clouds
236,Severo-Kurilsk,RU,2022-01-04 03:29:42,50.6789,156.125,30.2,93,100,18.7,snow
237,Yulara,AU,2022-01-04 03:29:43,-25.2406,130.9889,102.04,15,70,14.97,broken clouds
238,Mildura,AU,2022-01-04 03:27:41,-34.2,142.15,81.07,19,0,10.36,clear sky
