City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
462,Moron,AR,84.02,scattered clouds,-34.6534,-58.6198,Hotel Morón
464,Nisia Floresta,BR,79.61,overcast clouds,-6.0911,-35.2086,Rancho Crepusculo
465,Dwarka,IN,74.21,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
469,Basco,PH,75.49,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
473,Puerto Leguizamo,CO,72.19,broken clouds,-0.1934,-74.7819,la casona de juancho
480,Banda Aceh,ID,81.46,overcast clouds,5.5577,95.3222,Sulthan Hotel International
482,Itaqui,BR,72.57,overcast clouds,-29.1253,-56.5531,HOTEL BIASI - ITAQUI/RS
485,Matara,LK,82.0,moderate rain,5.9485,80.5353,Amaloh Boutique Resort
486,Kloulklubed,PW,84.7,broken clouds,7.0419,134.2556,Storyboard Beach Resort
488,Monrovia,LR,79.25,overcast clouds,6.3005,-10.7969,Sunset Inn
489,Hobyo,SO,79.47,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
494,Varkkallai,IN,85.78,overcast clouds,8.7341,76.7067,SPOT ON 72723 Pathanjali Ayurveda Yoga Centre( Dreams Beach Resort)
497,Kapoeta,SS,78.03,overcast clouds,4.7717,33.5903,Eastgate Hotel
498,Muli,MV,80.26,moderate rain,2.9167,73.5667,Medhufushi Island Resort
501,Mogadishu,SO,78.13,broken clouds,2.0371,45.3438,Hotel Juba
503,Jiwani,PK,73.13,heavy intensity rain,25.05,61.7417,Al Mumtaz Transport Jiwani
508,Katobu,ID,86.11,light rain,-4.9408,122.5276,La Ode Husein
511,Alyangula,AU,87.67,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
513,Saint-Joseph,RE,78.21,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
516,Palmares Do Sul,BR,75.2,overcast clouds,-30.2578,-50.5097,Restaurante e Pensão Lopes
519,Port Blair,IN,83.03,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
520,Batemans Bay,AU,84.2,clear sky,-35.7167,150.1833,Batemans Bay Marina Resort
523,Eyl,SO,76.5,scattered clouds,7.9803,49.8164,Amiin Hotel
525,Amahai,ID,81.79,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
526,Progreso,MX,71.11,overcast clouds,21.2833,-89.6667,Playa Linda Hotel
527,Alepe,CI,76.87,overcast clouds,5.5004,-3.6631,BENENE 1
528,Praia,CV,70.34,clear sky,14.9215,-23.5087,LT Aparthotel
532,Angoche,MZ,78.71,overcast clouds,-16.2325,39.9086,Guest House HESADA
539,Banjar,ID,82.26,overcast clouds,-8.19,114.9675,The Hamsa Resort
542,Caravelas,BR,74.1,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
543,Santa Rosa,PH,87.12,scattered clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
544,Vanimo,PG,84.85,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
545,Cocobeach,GA,78.08,overcast clouds,1.0002,9.5823,Hotel Esperance
549,Kerema,PG,84.52,broken clouds,-7.9631,145.7785,Frena Lodge
551,Santa Isabel,BR,73.65,overcast clouds,-23.3156,-46.2214,Chácara Sombra do Altíssimo
554,Trairi,BR,77.65,overcast clouds,-3.2778,-39.2689,janelas do mar
555,Floriano,BR,73.53,broken clouds,-6.7669,-43.0225,Hotel Maktub
561,Akyab,MM,72.86,clear sky,20.15,92.9,Hotel Memory
562,Boa Vista,BR,78.78,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
565,Port Macquarie,AU,78.76,broken clouds,-31.4333,152.9167,Rydges Port Macquarie
568,Port Shepstone,ZA,72.55,overcast clouds,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
574,Lazaro Cardenas,MX,74.28,clear sky,17.9583,-102.2,quinta antigua
575,Pitimbu,BR,81.19,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
579,Muncar,ID,80.73,overcast clouds,-8.4333,114.3333,Zaky Homestay
583,Rajampet,IN,73.99,scattered clouds,14.1833,79.1667,Maruthi Prasanna
590,Santiago,CL,73.85,clear sky,-33.4569,-70.6483,Che Lagarto Hostel Santiago
594,Pyay,MM,79.68,clear sky,18.8167,95.2167,Shwe Pyi Thar
596,Axim,GH,79.38,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
600,Geraldton,AU,84.61,clear sky,-28.7667,114.6,Broadwater Mariner Resort
604,Xuddur,SO,70.03,scattered clouds,4.1213,43.8894,Banjanay Hotel
606,Sabang,ID,81.09,overcast clouds,5.8933,95.3214,Hotel Citra
611,Noumea,NC,84.18,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
612,Pemangkat,ID,83.14,overcast clouds,1.1667,108.9667,Ramah Kost KITA
625,Olinda,BR,82.13,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
630,Port-Gentil,GA,79.52,overcast clouds,-0.7193,8.7815,Fengshui Residence
632,Portmore,JM,76.96,few clouds,17.9702,-76.8672,Salmon Way Inn
635,Eseka,CM,71.76,overcast clouds,3.65,10.7667,Complexe Hotelier Ndjiki Mpeck Eseka II
637,San Juan,AR,85.86,clear sky,-31.5375,-68.5364,Hotel Provincial
645,Cabedelo,BR,81.27,broken clouds,-6.9811,-34.8339,Hotel Pigalle
646,Nueve De Julio,AR,72.03,overcast clouds,-35.4444,-60.8831,Grand Hotel Libertad - GHL
655,Prado,BR,73.99,overcast clouds,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
656,Iracoubo,GF,76.64,clear sky,5.4802,-53.2011,Le Gîte d’Iracoubo
658,Fare,PF,79.81,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
660,Sechura,PE,70.59,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
661,Labuhan,ID,84.45,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
666,Luwuk,ID,84.63,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
